"Codigo","Descricao","Dimensao","TemDim"
"S153065","ESTANTE 4 PLANOS PERFURADOS LP INOXIDÁVEL - 1500X500X1750MM","1500X500X1750","True"
"S153250","PRATELEIRA SUP LISA L PRO-304-900X300MM","900X300","True"
"S153350","PRATELEIRA SUP. TUBULAR L PRO INOX 304 - 900 X 400","900 X 400","True"
"S153352","PRATELEIRA SUP. TUBULAR L PRO INOX 304 - 1100 X 400","1100 X 400","True"
"S153361","PRATELEIRA SUP. TUBULAR L PRO INOX 304 - 2000 X 400","2000 X 400","True"
"S153401","PRATELEIRA SUP. TUBULAR L PRO INOX 304 - 1000 X 300","1000 X 300","True"
"S153500","PRATELEIRA SUP LISA SOBRE MONTANTES 1 PLANO - 304 900X400X500 MM","900X400X500","True"
"S153503","PRATELEIRA SUP LISA SOBRE MONTANTES 1 PLANO-304- 1200X400X500 MM","1200X400X500","True"
"S153504","PRATELEIRA SUP LISA MONTANTES 1300X400X500","1300X400X500","True"
"S153509","PRATEL SUP LISA SOBRE MONTANTES 1 PLANOI - 304 -1800X400X500","1800X400X500","True"
"S153511","PRATELEIRA SUP LISA MONTANTES 2000X400X500","2000X400X500","True"
"S153515","PRATEL SUP LISA SOBRE MONTANTES 1 PLANO-304- 2400X400X500 MM","2400X400X500","True"
"S153523","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-304-1100X400X800 MM","1100X400X800","True"
"S153526","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-304-1400X400X800 MM","1400X400X800","True"
"S153528","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-304-1600X400X800MM","1600X400X800","True"
"S153530","PRATEL SUP LISA SOBRE MONTANTES 2 PLANOS-304-1800X400X800 MM","1800X400X800","True"
"S153603","GABINETE NEUTRO COM PORTAS-INOX-304 - 1000X700X900 MM","1000X700X900","True"
"S153609","GABINETE NEUTRO COM PORTAS-INOX-304 - 1600X700X900 MM","1600X700X900","True"
"S153653","GABINETE NEUTRO ABERTO-INOX-304 - 1000X700X900 MM","1000X700X900","True"
"S153663","GABINETE NEUTRO ABERTO - INOX-304 - 2000X700X900 MM","2000X700X900","True"
"S153676","CAIXA DE GORDURA 400X300X310","400X300X310","True"
"S153800","GABINETE INOX-304 DE ENCOSTO COM GAVETAS 460X700X900 MM","460X700X900","True"
"S153802","GABINETE INOX-304 DE CENTRO COM GAVETAS 460X700X900 MM","460X700X900","True"
"S153808","GRELHA DE PISO L PRO-500X150X75 MM","500X150X75","True"
"S153810","GRELHA DE PISO L PRO - 1000X150 X 75 MM C SAIDA LATERAL","1000X150 X 75","True"
"S153812","GUICHE PARA DEVOLUCAO 304 - 4 BOX-800X400X480 MM","800X400X480","True"
"S153813","GUICHE PARA DEVOLUCAO 1 BOX-1000X400X480 MM","1000X400X480","True"
"S153815","GUICHE PARA DEVOLUÇÃO 4 BOX-1000X400X480mm","1000X400X480","True"
"S153816","GUICHE PARA DEVOLUÇÃO 6 BOX 1200X400X480mm","1200X400X480","True"
"S153819","HEAT LAMP PPRAT SUP AQUEC. C CERAMICA - 500X160X80 MM","500X160X80","True"
"S153821","HEAT LAMP-1000X160X80MM-AQUEC. CERAMICA","1000X160X80","True"
"S153851","SUPORTE PORTA TALHER 304 - 320X280X290MM","320X280X290","True"
"S154003","REFRIG HORIZ ESQ. INOXIDÁVEL INT_EXT-2 PORTAS-1500X700X900MM","1500X700X900","True"
"S154004","REFRIG HORIZ ESQ. INOXIDÁVEL-3 PORTAS-1880X700X900MM","1880X700X900","True"
"S154010","REFRIG. BASE COCÇÃO 4 GAV, CAB. ESQ. INOXAL 430 - 1440x700x660mm","1440x700x660","True"
"S154011","REFRIG BASE ESQ. INOXIDÁVEL-6 GAVETAS L 700-1880X700X660MM","1880X700X660","True"
"S154012","REFRIGERADOR HORIZONTAL DIR. INOXIDÁVEL-2 PORTAS-1380X700X900 MM","1380X700X900","True"
"S154017","FREEZER  HORIZ DIR INOXIDAVEL INT -EXTERN 2PORTAS  1500X700X900mm","1500X700X900","True"
"S154023","REFRIGERADOR HORIZONTAL DIR. INOXIDÁVEL-2 PORTAS-1500X700X900 MM","1500X700X900","True"
"S154029","REFRIG HORIZ DIR. INOXIDÁVEL INT_EXT-3 PORTAS-2000X700X900 MM","2000X700X900","True"
"S154036","CABEÇOTE P 8 REFRI SUP HORZ 1500X410X500","1500X410X500","True"
"S154037","CABECOTE P 10 GN'S REFRI. SUP. HORIZ-1860X380X500 MM","1860X380X500","True"
"S154040","REFRIGERADOR VERTICAL INOXINOX 2P 700X810X2050 MM","700X810X2050","True"
"S154043","REFRIG HORIZ DIR. INOXIDÁVEL -4 PORTAS-2500X700X900MM","2500X700X900","True"
"S154046","REFRIGERADOR EXPOSITOR VERTICAL 1P 700X810X2050 MM","700X810X2050","True"
"S154050","REFRIG. BASE DIR. INOX - 4 GAV. L700 - 1440x700x660mm","1440x700x660","True"
"S154061","REFRIGERADOR VERTICAL 2P BI-P. INOXIDÁVEL- 700X800X2050 MM","700X800X2050","True"
"S154062","REFRIGERADOR VERTICAL 4 P BI-P. INOXIDAVEL INTEXT  1400X800X2050 MM","1400X800X2050","True"
"S154063","FREEZER HORIZ ESQ. INOXIDÁVEL INT_EXT 2 PORTAS-1500X700X900MM","1500X700X900","True"
"S154066","REFRIGERADOR VERTICAL 2 PORTAS INT. INOX INOX 430 - 1400X800X2050 MM","1400X800X2050","True"
"S154073","MINI CAMARA RESFRIADA VERTICAL 2P 1000 INOXIDÁVEL INTEXT","","False"
"S154074","MINI CAMARA CONGELADA VERTICAL 2P 1000 INOXIDÁVEL INTEXT","","False"
"S154094","CABEÇOTE P 5 GNS REFRI SOBREPOR HORIZ 965X380X150","965X380X150","True"
"S154101","TAMPO LISO INOX-304 ENCOSTO PREFFRZ HORIZONTAL 1000 MM","","False"
"S154102","TAMPO LISO INOX-304 ENCOSTO P_REF_FRZ HORIZONTAL 1380MM","","False"
"S154103","TAMPO LISO INOX-304 ENCOSTO PREFFRZ HORIZONTAL 1500 MM","","False"
"S154104","TAMPO LISO ENCOSTO P REFRFRZ HOR. INOX 304 - 1880 MM","","False"
"S154105","TAMPO LISO INOX-304 ENCOSTO PREFFRZ HORIZONTAL 2000 MM","","False"
"S154106","TAMPO LISO INOX-304 ENCOSTO PREFFRZ HORIZONTAL 2380 MM","","False"
"S154107","TAMPO LISO INOX-304 ENCOSTO P_REF_FRZ_ HORIZONTAL 2500","","False"
"S154110","TAMPO LISO INOX-304 CENTRO PREFFRZ HORIZONTAL 1380 MM","","False"
"S154111","TAMPO LISA CENTRO 304 P REF-FRZ HOR 1500mm","","False"
"S154112","TAMPO LISO INOX-304 CENTRO P_REFFRZ HORIZONTAL 1880MM","","False"
"S154113","TAMPO LISO INOX-304 CENTRO P-REF-FRZ HORIZONTAL 2000M","","False"
"S154114","TAMPO LISO INOX-304 CENTRO PREFFRZ HORIZONTAL 2380 MM","","False"
"S154115","TAMPO LISO INOX-304 CENTRO P-REF-FRZ HORIZONTAL 2500M","","False"
"S154117","TAMPO VINC ENC PREFFRZ HZ. CCUBA 40X34X18-DIR-304-1500 MM","40X34X18","True"
"S154118","TAMPO VINC ENC PREFFRZ HZ. CCUBA 40X34X18-DIR-304-2000 MM","40X34X18","True"
"S154119","TAMPO VINC ENC P_REF_FRZ HZ. C_CUBA 40X34X18-DIR-304-2500 MM","40X34X18","True"
"S154187","CABECOTE SUP. ESQ. 05 GNS REFRI. HORIZ 304 - 965X380X500 MM","965X380X500","True"
"S154188","CABECOTE SUP. ESQ. 08 GNS REFRI. HORIZ 304 - 1500X410X500 MM","1500X410X500","True"
"S154190","CABECOTE SOB. ESQ. 05 GNS REFRI. HORIZ 304 - 965X380X150 MM","965X380X150","True"
"S154208","REFRIG. HORIZ. B. CH. CD. 2P INOXIDÁVEL - 2000X700X1060MM","2000X700X1060","True"
"S154215","UNDERCOUNTER REFRIGERADO EM AÇO INOXIDÁVEL 700X700X822MM","700X700X822","True"
"S154216","UNDERCOUNTER CONGELADO 1 P INOXIDÁVEL - 700X700X822 MM","700X700X822","True"
"S154220","FREEZER P COPOS INOXIDAVEL 1000X700X960","1000X700X960","True"
"S154225","TAMPO VINC ENC P_REF_FRZ HZ. C_CUBA 40X34X18-ESQ-304-2500MM","40X34X18","True"
"S154226","TAMPO VINC ENC PREFFRZ HZ. CCUBA 40X34X18-ESQ-304-2000MM","40X34X18","True"
"S154227","TAMPO 304 VINC ENC P REF-FRZ C CB 40X34X18 ESQ 1500mm","40X34X18","True"
"S154231","TAMPO VINC ENC PREFFRZ HZ. CCUBA 50X40X25-ESQ-304-2000 MM","50X40X25","True"
"S154239","FECHAMENTO TRASEIRO PARA REFRIGERADOR 430 1500X710","1500X710","True"
"S154242","CABECOTE P5 GNS REFRI. SOBREPOR CMOTOR -1320X420X335MM","1320X420X335","True"
"S154243","CABECOTE P8 GNS REFRI. SOBREPOR C MOTOR -1820X420X335MM","1820X420X335","True"
"S154298","FREEZER HORIZ. 2 P CAB. DIR. INOXIDÁVEL-AL - 1500X700X900 MM","1500X700X900","True"
"S154302","FREEZER HORIZ. 2 P CAB. ESQ. INOXIDÁVEL-AL - 1500X700X900 MM","1500X700X900","True"
"S154303","FREEZER HORIZ. 3 P CAB. ESQ. INOXIDÁVEL_AL-2000X700X900MM","2000X700X900","True"
"S154306","UNDERCOUNTER 1 P INOXAL 304 - 700X700X822 MM","700X700X822","True"
"S154310","FREEZER P COMPOS INOX-AL 1000X710X1040","1000X710X1040","True"
"S154318","REFRIG BASE COCÇÃO 4 GAV. CAB. ESQ. INOXIDÁVELAL - 1440X700X660MM","1440X700X660","True"
"S154319","REFRIG. BASE COCÇÃO 6 GAV. CAB. ESQ. INOXIDAVELAL  - 1880X700X660mm","1880X700X660","True"
"S154328","REFRIGERADOR VERTICAL 1P INT. INOXIDÁVELAL - 700X800X2050 MM","700X800X2050","True"
"S154330","REFRIGERADOR VERTICAL 2 P BI-P INOXIDAVEL-AL 700X800X2050","700X800X2050","True"
"S154331","REFRIG VERTICAL 4 P BI-P INOXIDAVEL-AL 1400X800X2050MM","1400X800X2050","True"
"S154332","REFRIGERADOR VERTICAL 1P VIDRO INOXIDÁVELAL - 700X800X2050 MM","700X800X2050","True"
"S154334","REFRIGERADOR VERTICAL 2P VIDRO BI-P. INOXIDÁVELAL - 700X800X2050 MM","700X800X2050","True"
"S154337","FREEZER VERT. 2 PORTAS  BI-P INOXIDAVEL-AL 700X800X2050mm","700X800X2050","True"
"S154340","MINI CAMARA RESFRIADA 2P INOXIDÁVELAL - 1000X800X2050 MM","1000X800X2050","True"
"S154341","MINI CAMARA CONGELADA  2P INOXDAVEL-AL 1000X800X250","1000X800X250","True"
"S154350","FREEZER VERT 1 PORTA INT. 430-AL 700X800X2050mm","700X800X2050","True"
