folderPath,fileCount,totalMB,relevanceScore
D:\2022\DISTRIBUIÇÃO\BANCADA AQUECIDA\S206685 - BANCADA DE CENTRO L PRO PRAT 304 1600X700X900X MM C RECORTE P  5 GNS 1-3 E TAMPO AQUECIDO\PROJETO,1,0.02,9
D:\2022\AUXILIARES\GRELHA DE PISO\S206823 - GRELHA DE PISO 304 CESTOPERFREMOV. CGRAPAS 900X150X40MM\PROJETO,2,0.05,9
D:\2022\ACESSORIOS\BAKER\ACS-B04,2,0.22,9
D:\2022\0-ARQUIVOS\JAMERSON\PEÇAS FABRICA\PAINEL CONTROLE CHAPAS\PROJETO,1,0.02,9
D:\2022\COCÇÃO\ACESSORIOS\S200971 - CHAPA BIFETEIRA DE FOGAO 500X500\PROJETO\S200971,1,0.02,9
D:\2022\COCÇÃO\ACESSORIOS\S150191 -  CHAPA BIFEIRA DE SOBREPOR P FOGAO INDUSTRIAL  - AÇO CARBONO 1020 - 420X880\PROJETO,1,0.02,9
D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\CHAPA\S150203 - CHAPA ELETRICA L700 360X750X270MM 220V TRIF\PROJETO,1,0.03,9
D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\CHAPA\S207371 - CHAPA A GAS L700 720MM GN 720X750X270MM C SAPATAS ALUMINIO,1,0.02,9
D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\CHAPA\S150207 - CHAPA A GAS L700 720MM GN 720X750X270MM\PROJETO,1,0.03,9
D:\2022\COCÇÃO\LINHA PROFISSIONAL\LINHA 700\2024\CHAPA\S150201 - CHAPA A GAS GLP L700 720X750X270MM\PROJETO,1,0.03,9
D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAPA\S207252 - CHAPA ELÉTRICA LA 1200MM 1200X680X345MM 220V - 3-4 LISA 1-4 FRISADA\PROJETO,1,0.02,9
D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAPA\S150149 - CHAPA ELÉTRICA LA 1200MM 1200X680X325MM 380V\PROJETO,1,0.02,9
D:\2022\COCÇÃO\LINHA AMERICANA\ELÉTRICA\CHAPA\S150116 - CHAPA ELÉTRICA LA 900MM 900X680X325MM\PROJETO,1,0.02,9
D:\2022\COCÇÃO\LINHA AMERICANA\CHAR BROILER\S150374 - CHAR BROILER HÍBRIDO A GAS GLP LA 600MM C GRELHA CHAPA E RASPADOR\PROJETO,1,0.03,9
D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150136 - CHAPA A GAS GN LA 300MM 300X680X325MM\PROJETO,1,0.02,9
D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150134 - CHAPA A GAS GLP LA 300MM 300X680X325MM\PROJETO,1,0.03,9
D:\2022\COCÇÃO\LINHA AMERICANA\CHAPA\S150145 - CHAPA LA 600MM 600X680X325 C CONTROLADOR DE TEMPERATURA\PROJETO,1,0.02,9
D:\2022\REDES\STARBUCKS\S203691-PIABACK  C-02 CUBAS 500X400X300 950620X1150\PROJETO\S203691,1,0.02,8
D:\2022\REDES\STARBUCKS\PROTOTIPO\STAR-001,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207190 - DUTO EM Y 1430X830X300 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207187 - DUTO RETANGULAR 1125 - 400X300X1125 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207189 - DUTO RETANGULAR 450 - 400X300X450 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207188 - DUTO RETANGULAR 750 - 400X300X750 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207186 - DUTO RETANGULAR 350 - 400X350X300 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207185 - CURVA 90 GRAUS -  505X535X300 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S203676 - DUTO RETANGULAR 590X380X600 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S203742 - CURVA 90 GRAUS -  550X590X380 MM\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\EXAUSTÃO\DUTOS\S207183 - REDUÇÃO PARA DUTOS\PROJETO,1,0.02,8
D:\2022\REDES\ASSAI\S207060 - BANCADA DE ENCOSTO L PRO PRAT PERF-INOX-304-660X700X900 MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\REFRIGERADORES\S170045 - REFRIGERADOR HORIZ CAB ESQ. 3 PORTAS 1880X700X900 TAMPO CUBA RED\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\REFRIGERADORES\S170035 - REFRIGERADOR HORIZONTAL 2 PORTAS 1380X700X900MM C TAMPO\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\BANCADAS\S170013 - BANCADA DE ENC. 304 LISA C-PRAT LISA 1500x700x900\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\BANCADAS\S170014 - BANCADA DE ENC. 304 LISA C 2 PRAT. LISA 700X700X900MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\BANCADAS\S170010 - MESA VINCADA DE ENCOSTO C 3 CUBAS 40X50X25 - 1500X700X900MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\SXXXXXX - VITRINE DUAL (NEUTRA-REFRIGERADA)\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\SW-LVMP - LAVA MOP\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\S170048 - VITRINE REFRIGERADA PARA SALGADOS 625x510x550MM\PROJETOB,1,0.02,8
D:\2022\REDES\SUBWAY\S170048 - VITRINE REFRIGERADA PARA SALGADOS 625x510x550MM\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\S170039 - VITRINE PORTA COOKIES 440x510x550MM\PROJETO NOVO,1,0.03,8
D:\2022\REDES\SUBWAY\S170038 - MULTI PISTA DELIVERY - 1500x700x1900MM\PROJETO,1,0.03,8
D:\2022\REDES\SUBWAY\S170025 - BANDEJA DE PÃO ALUMINIO 440X325X170\350X140X15,1,0.02,8
D:\2022\REDES\SUBWAY\S170020- LAVATÓRIO ASSEPSIA C TORNEIRA E ACIONAMENTO DE JOELHO 350x350mm\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\S170011 - TAMPA PARA CUBA 400X500X250 INOX 304\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\PRATELEIRAS\S170057 - PRATELEIRA SUP LISA L PRO-304-1100X300MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\PRATELEIRAS\S170047 - PRATELEIRA SUP LISA L PRO-INOX-304 - 1400X300X40MM\PROJETO,1,0.02,8
D:\2022\REDES\SUBWAY\PRATELEIRAS\S170018 - PRATELEIRA COM CLIP PARA COBERTURA MLL 640X750X460MM\PROJETO,1,0.02,8
